U set;U actual;I set;I actual;P set;P actual;R set;R actual;R mode;Output/Input;Device mode;Error;Time;
02,60;3,64;00,00;20,82;600,0;75,8;N/A;N/A;OFF;ON;CC;NONE;00:00:00,439;
02,60;3,56;00,00;27,15;600,0;96,8;N/A;N/A;OFF;ON;CC;NONE;00:00:00,939;
02,60;3,58;00,00;24,36;600,0;87,2;N/A;N/A;OFF;ON;CC;NONE;00:00:01,439;
02,60;3,69;00,00;13,99;600,0;51,6;N/A;N/A;OFF;ON;CC;NONE;00:00:01,939;
02,60;3,79;00,00;3,66;600,0;13,9;N/A;N/A;OFF;ON;CC;NONE;00:00:02,439;
02,60;3,64;00,00;19,25;600,0;69,9;N/A;N/A;OFF;ON;CC;NONE;00:00:02,939;
02,60;3,67;00,00;15,36;600,0;56,5;N/A;N/A;OFF;ON;CC;NONE;00:00:03,439;
02,60;3,61;00,00;21,06;600,0;76,0;N/A;N/A;OFF;ON;CC;NONE;00:00:03,939;
02,60;3,56;00,00;25,31;600,0;90,1;N/A;N/A;OFF;ON;CC;NONE;00:00:04,439;
02,60;3,73;00,00;8,64;600,0;32,2;N/A;N/A;OFF;ON;CC;NONE;00:00:04,939;
02,60;3,82;00,00;0,28;600,0;0,0;N/A;N/A;OFF;ON;CC;NONE;00:00:05,439;
02,60;3,82;00,00;0,81;600,0;3,1;N/A;N/A;OFF;ON;CC;NONE;00:00:05,939;
02,60;3,82;00,00;1,49;600,0;5,7;N/A;N/A;OFF;ON;CC;NONE;00:00:06,439;
02,60;3,76;00,00;6,66;600,0;25,1;N/A;N/A;OFF;ON;CC;NONE;00:00:06,939;
02,60;3,80;00,00;3,37;600,0;12,8;N/A;N/A;OFF;ON;CC;NONE;00:00:07,439;
02,60;3,83;00,00;0,26;600,0;0,0;N/A;N/A;OFF;ON;CC;NONE;00:00:07,939;
02,60;3,84;00,00;0,00;600,0;0,0;N/A;N/A;OFF;ON;CC;NONE;00:00:08,439;
02,60;3,82;00,00;1,28;600,0;4,9;N/A;N/A;OFF;ON;CC;NONE;00:00:08,939;
02,60;3,83;00,00;0,64;600,0;2,5;N/A;N/A;OFF;ON;CC;NONE;00:00:09,439;
