A;B;C;D;E;F;G;H
0.0;0.0;0.0;0.0;0.0;0.0;4.208;0.0
0.0;0.0;0.0;0.0;0.0;4.208;40.2959;4208010.0
0.0;0.0;0.0;0.0;0.0;40.2959;0.0;40295950.0
0.0;0.0;0.0;0.0;0.0;0.0;21.9428;0.0
0.0;0.0;0.0;0.0;0.0;21.9428;12.1048;21942750.0
0.0;0.0;0.0;0.0;0.0;12.1048;26.633;12104850.0
0.0;0.0;0.0;0.0;0.0;26.633;0.0;26633050.0
0.0;0.0;0.0;0.0;0.0;0.0;1.4275;0.0
0.0;0.0;0.0;0.0;0.0;1.4275;9.1349;1427490.0
0.0;0.0;0.0;0.0;0.0;9.1349;5.5247;9134950.0
0.0;0.0;0.0;0.0;0.0;5.5247;-0.0;5524740.0
0.0;0.0;0.0;0.0;0.0;-0.0;-0.0;0.0
0.0;0.0;0.0;0.0;0.0;-0.0;1.5153;0.0
0.0;0.0;0.0;0.0;0.0;1.5153;0.5573;1515290.0
0.0;0.0;0.0;0.0;0.0;0.5573;1.5847;557340.0
0.0;0.0;0.0;0.0;0.0;1.5847;1.4339;1584650.0
0.0;0.0;0.0;0.0;0.0;1.4339;6.9451;1433860.0
0.0;0.0;0.0;0.0;0.0;6.9451;7.1488;6945100.0
0.0;0.0;0.0;0.0;0.0;7.1488;11.2378;7148840.0
0.0;0.0;0.0;0.0;0.0;11.2378;6.3187;11237850.0
0.0;0.0;0.0;0.0;0.0;6.3187;18.4934;6318730.0
0.0;0.0;0.0;0.0;0.0;18.4934;19.4998;18493450.0
0.0;0.0;0.0;0.0;0.0;19.4998;0.0;19499850.0
0.0;0.0;0.0;0.0;0.0;0.0;23.8348;0.0
0.0;0.0;0.0;0.0;0.0;23.8348;19.6188;23834850.0
0.0;0.0;0.0;0.0;0.0;19.6188;0.3661;19618850.0
0.0;0.0;0.0;0.0;0.0;0.3661;0.002;366150.0
0.0;0.0;0.0;0.0;0.0;0.002;5.5803;2010.0
0.0;0.0;0.0;0.0;0.0;5.5803;12.2545;5580330.0
0.0;0.0;0.0;0.0;0.0;12.2545;0.0;12254450.0
0.0;0.0;0.0;0.0;0.0;0.0;1.0511;0.0
0.0;0.0;0.0;0.0;0.0;1.0511;16.0505;1051110.0
0.0;0.0;0.0;0.0;0.0;16.0505;11.73;16050550.000000002
0.0;0.0;0.0;0.0;0.0;11.73;0.0011;11730000.0
0.0;0.0;0.0;0.0;0.0;0.0011;0.0025;1120.0
0.0;0.0;0.0;0.0;0.0;0.0025;2.7725;2500.0
0.0;0.0;0.0;0.0;0.0;2.7725;12.6012;2772530.0
0.0;0.0;0.0;0.0;0.0;12.6012;0.0;12601250.0
0.0;0.0;0.0;0.0;0.0;0.0;0.4471;0.0
0.0;0.0;0.0;0.0;0.0;0.4471;9.7435;447070.0
0.0;0.0;0.0;0.0;0.0;9.7435;17.2431;9743550.0
0.0;0.0;0.0;0.0;0.0;17.2431;14.858;17243100.0
0.0;0.0;0.0;0.0;0.0;14.858;0.0;14858000.0
0.0;0.0;0.0;0.0;0.0;0.0;14.0199;0.0
0.0;0.0;0.0;0.0;0.0;14.0199;-0.0;14019900.0
0.0;0.0;0.0;0.0;0.0;-0.0;1.2668;-0.0
0.0;0.0;0.0;0.0;0.0;1.2668;0.9103;1266750.0
0.0;0.0;0.0;0.0;0.0;0.9103;3.8203;910260.0
0.0;0.0;0.0;0.0;0.0;3.8203;0.232;3820330.0
0.0;0.0;0.0;0.0;0.0;0.232;0.4086;232020.0
0.0;0.0;0.0;0.0;0.0;0.4086;14.49;408570.0
0.0;0.0;0.0;0.0;0.0;14.49;0.0362;14489950.0
0.0;0.0;0.0;0.0;0.0;0.0362;1.8958;36190.0
0.0;0.0;0.0;0.0;0.0;1.8958;1.1825;1895840.0
0.0;0.0;0.0;0.0;0.0;1.1825;21.1072;1182520.0
0.0;0.0;0.0;0.0;0.0;21.1072;29.1414;21107200.0
0.0;0.0;0.0;0.0;0.0;29.1414;-0.0;29141400.0
0.0;0.0;0.0;0.0;0.0;-0.0;0.0;-0.0
0.0;0.0;0.0;0.0;0.0;0.0;14.0836;0.0
0.0;0.0;0.0;0.0;0.0;14.0836;10.7924;14083650.0
0.0;0.0;0.0;0.0;0.0;10.7924;0.155;10792450.0
0.0;0.0;0.0;0.0;0.0;0.155;10.3284;155010.0
0.0;0.0;0.0;0.0;0.0;10.3284;12.5936;10328350.0
0.0;0.0;0.0;0.0;0.0;12.5936;0.0;12593600.0
0.0;0.0;0.0;0.0;0.0;0.0;12.5817;0.0
0.0;0.0;0.0;0.0;0.0;12.5817;0.1605;12581700.0
0.0;0.0;0.0;0.0;0.0;0.1605;1.6052;160500.0
0.0;0.0;0.0;0.0;0.0;1.6052;1.3223;1605230.0
0.0;0.0;0.0;0.0;0.0;1.3223;14.2452;1322260.0
0.0;0.0;0.0;0.0;0.0;14.2452;13.7071;14245150.0
0.0;0.0;0.0;0.0;0.0;13.7071;0.0;13707100.0
0.0;0.0;0.0;0.0;0.0;0.0;11.0772;0.0
0.0;0.0;0.0;0.0;0.0;11.0772;10.7295;11077200.0
0.0;0.0;0.0;0.0;0.0;10.7295;10.954;10729550.0
0.0;0.0;0.0;0.0;0.0;10.954;-0.0;10953950.0
0.0;0.0;0.0;0.0;0.0;-0.0;18.3685;-0.0
0.0;0.0;0.0;0.0;0.0;18.3685;13.1758;18368500.0
0.0;0.0;0.0;0.0;0.0;13.1758;27.3453;13175850.0
0.0;0.0;0.0;0.0;0.0;27.3453;0.4044;27345350.0
0.0;0.0;0.0;0.0;0.0;0.4044;-0.0;404400.0
0.0;0.0;0.0;0.0;0.0;-0.0;8.5476;-0.0
0.0;0.0;0.0;0.0;0.0;8.5476;10.0538;8547600.0
